,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.8000431856,3.7734828101,3.0996829477,2.9863859626,2.9586795529,2.9456600225,2.9420885847,2.9307636389,2.9308467421,2.9302196641
Trail 2,5.8397857151,3.9189810705,3.3079727504,3.2026081149,3.1735611587,3.161794413,3.1561649056,3.1474598905,3.1463153154,3.145179823
Trail 3,5.8462858343,3.8819594313,3.2689798547,3.180212994,3.1504510545,3.1361410416,3.1316085783,3.1222952844,3.1228411165,3.1225570152
Trail 4,5.9293588939,3.8743806307,3.2298313814,3.1338149815,3.1000742014,3.0828638312,3.0775644841,3.0666498816,3.0661887955,3.0654444152
Trail 5,6.0255024255,4.2936148894,3.7513969612,3.6724255152,3.6420594536,3.6285555164,3.6249360856,3.6186025902,3.6189227893,3.61855084
Trail 6,5.9470603141,3.8396234549,3.179538685,3.0829004762,3.0556129446,3.0401247829,3.0365879226,3.0258578298,3.026524676,3.0259369155
Trail 7,5.9140556264,4.1722638504,3.6737414222,3.5963806586,3.5715308582,3.5597496507,3.5561739755,3.5496209874,3.5499677223,3.5499074316
Trail 8,5.9197450184,3.7818776639,3.11837659,3.0087046181,2.977574128,2.9603083301,2.9555926432,2.9439237396,2.9443382466,2.944055508
Trail 9,5.6947658126,3.7892628926,3.2307682769,3.1492773157,3.1217148829,3.1082499164,3.102162483,3.0945269598,3.0943061007,3.0938620628
Trail 10,5.8353821531,3.9046768289,3.3478074187,3.2601968979,3.2325052892,3.2179615656,3.2138956145,3.2058426484,3.2058776384,3.204802411
Average,5.8751984979,3.9230123523,3.3208096288,3.2272907535,3.1983763524,3.184140907,3.1796775277,3.1705543451,3.1706129143,3.1700516086
