,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.9853822683,3.9701161706,3.3457296892,3.2560375492,3.2293447554,3.213179199,3.2090190311,3.1985703407,3.198777093,3.1977849478
Trail 2,5.8809758091,3.856766153,3.2077310375,3.1062251818,3.0776904527,3.0621019297,3.0567651481,3.0467194344,3.0472539547,3.0467044306
Trail 3,5.8825273178,4.2598920078,3.8027562824,3.7404787617,3.718592904,3.7108369085,3.7090880202,3.7050525206,3.7052612477,3.7049731
Trail 4,5.8963788401,3.9437196858,3.3478198092,3.2366359348,3.2121883474,3.1990937849,3.1975617077,3.1901423592,3.1900967785,3.1891834929
Trail 5,5.8667251115,3.916104241,3.3195527391,3.2381370175,3.2102074315,3.1980429012,3.1947302223,3.1858135626,3.1855472825,3.1847463544
Trail 6,5.9203384025,3.880236866,3.2242900802,3.12488864,3.0968654174,3.0834087388,3.077174288,3.0678331013,3.0681690489,3.0679241008
Trail 7,5.815643377,4.1190740534,3.6395011493,3.5733558951,3.552599845,3.5457824935,3.5439029882,3.5384717294,3.538514162,3.5384919878
Trail 8,5.8637413635,3.8741090102,3.2850219123,3.2011647808,3.1750451119,3.1623732126,3.1598018353,3.1509516711,3.1513732891,3.1957753061
Trail 9,5.8145677486,3.7851583986,3.1471286522,3.0478133382,3.0170176016,3.0019075606,2.997429602,2.986087795,2.9857343663,2.9851088675
Trail 10,5.9478557304,3.9502949743,3.3357329076,3.2367719372,3.2140350711,3.2023292363,3.198558718,3.1894562668,3.1900560866,3.190215168
Average,5.8874135969,3.9555471561,3.3655264259,3.2761509036,3.2503586938,3.2379055965,3.2344031561,3.2259098781,3.2260783309,3.2300907756
