,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.8684386426,3.8668002892,3.2610256582,3.1670293894,3.138059059,3.1235432689,3.119904457,3.1100765218,3.1102749103,3.1096066656
Trail 2,5.8281947902,3.882570345,3.2707444185,3.1806774947,3.1543921572,3.1420843392,3.1393371226,3.1295969431,3.1296285874,3.1297484938
Trail 3,5.9293623895,3.8599345873,3.2147991372,3.1126333376,3.0814325319,3.0654834835,3.0624593077,3.0520135085,3.0514785695,3.0514466473
Trail 4,5.9490552737,4.2057511331,3.6723332657,3.590563464,3.5630360286,3.5518147195,3.5479315095,3.5406608535,3.5406850023,3.5398818991
Trail 5,5.7949070739,3.8442507687,3.2595278028,3.1711036986,3.1388015558,3.1258545753,3.1219616835,3.1835251122,3.166025336,3.1609566542
Trail 6,5.9045730641,3.8488924725,3.2373267973,3.1427904052,3.1134957782,3.0980482686,3.0944806076,3.0833581981,3.0833198042,3.0822856386
Trail 7,5.893635293,4.0087408452,3.4969177119,3.4133749752,3.3915009421,3.3809402847,3.3777989219,3.3697780787,3.3698002033,3.3690848217
Trail 8,5.9178771933,3.8919029257,3.2612310413,3.1712195505,3.1421215065,3.1280269591,3.1238078619,3.1141835601,3.1140907235,3.1131610872
Trail 9,5.850662078,3.883768716,3.2990682307,3.2097077304,3.1817887594,3.1679231568,3.1633614392,3.1537845063,3.1535130422,3.1521552875
Trail 10,5.9432856044,4.2377712182,3.7224624841,3.6497869288,3.6229477188,3.6129320671,3.6105326867,3.603354155,3.6033447265,3.6027395676
Average,5.8879991403,3.9530383301,3.3695436548,3.2808886974,3.2527576037,3.2396651123,3.2361575598,3.2340331437,3.2322160905,3.2311066762
