,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.6083530216,3.7788196134,3.4698992029,3.4273746804,3.4005296782,3.3824560042,3.3744619895,3.373475684,3.3741409934,3.371837396
Trail 2,5.890904618,4.0131407234,3.5572817992,3.4838236557,3.4523557204,3.4420943454,3.6349924175,3.5511374708,3.4866436357,3.4654305969
Trail 3,5.6763739532,3.8505005256,3.3255184701,3.253491255,3.2290703253,3.222213521,3.2156507206,3.2154988405,3.2161867824,3.215051894
Trail 4,5.5147540913,3.8732108615,3.5314834179,3.4713316357,3.4410451082,3.4415678956,3.435250473,3.4335786737,3.4336281521,3.433338161
Trail 5,5.8150758809,3.8737941138,3.3751627316,3.2902747516,3.2579577855,3.2547303428,3.2565960942,3.2596104357,3.2582845662,3.3246169985
Trail 6,5.4598530053,3.780563567,3.4134172881,3.3526699514,3.3228836213,3.3219645067,3.3144443231,3.3136750879,3.3543643281,3.3423683004
Trail 7,5.4307364648,3.8212957136,3.5350973907,3.4797421267,3.4514936087,3.6395593397,3.5997075491,3.5591549784,3.5318899481,3.4757980851
Trail 8,5.7034077527,3.9166079804,3.4262036681,3.3604982435,3.3233525222,3.3136185977,3.3077407843,3.3643441089,3.3026936428,3.2998116218
Trail 9,5.7167953687,3.9024485918,3.5110035984,3.4572790841,3.5725924948,3.5540990832,3.4935077633,3.4816902943,3.4487314771,3.4244440411
Trail 10,5.4701595226,3.7913129889,3.4848590472,3.4256593823,3.3989624554,3.3898938813,3.385642685,3.3835871121,3.3967333373,3.3872661242
Average,5.6286413679,3.8601694679,3.4629926614,3.4002144766,3.385024332,3.3962197518,3.40179948,3.3935752686,3.3803296863,3.3739963219
