,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.7709408098,3.8954034444,3.4623670671,3.4026413461,3.3756706418,3.3637090987,3.5003113597,3.4507812099,3.4043078682,3.3966767694
Trail 2,5.699304144,3.9302040083,3.4542684985,3.3735293116,3.3312499727,3.3219110543,3.3123493174,3.3080070643,3.3048456257,3.3022806924
Trail 3,5.5363914969,3.7018699878,3.2489328606,3.1557485363,3.1198166068,3.1184659156,3.1082728212,3.1055978638,3.105880621,3.1641635154
Trail 4,5.60754609,3.7636247228,3.3090624134,3.2057413514,3.1816652386,3.1758115192,3.1691284942,3.1676945281,3.167039868,3.1642987304
Trail 5,5.8247661459,3.9437868172,3.4856595692,3.4095267669,3.3770476946,3.3657702984,3.3607475058,3.3575855558,3.3551368088,3.3512284606
Trail 6,5.8033416169,3.9302486663,3.4247098836,3.3346258188,3.2931496728,3.2795783776,3.2726871756,3.2675068919,3.2658341313,3.2626175656
Trail 7,5.741565248,3.8201077386,3.2737664775,3.1940772199,3.1637656284,3.1546044515,3.1484937676,3.1476298527,3.389220681,3.2730212977
Trail 8,5.4688381603,3.8480078091,3.505444898,3.4209869244,3.4000711651,3.4006183366,3.3980730065,3.3982277747,3.3989902502,3.3992673548
Trail 9,5.3884416203,3.7379628183,3.4500258064,3.3731093309,3.3544408485,3.3516798995,3.3431658189,3.3413109169,3.3419639617,3.3403582745
Trail 10,5.8178973148,4.040808587,3.5227181378,3.4526773886,3.4177694603,3.4079786256,3.4015624399,3.3975360438,3.3962245013,3.3938632165
Average,5.6659032647,3.86120246,3.4136955612,3.3322663995,3.3014646929,3.2940127577,3.3014791707,3.2941877702,3.3129444317,3.3047775877
