,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.7322238576,3.80849673,3.2710558777,3.18224651,3.1413017212,3.1341870482,3.1257927455,3.1267269714,3.1232214732,3.1187746335
Trail 2,5.6191861741,3.7545871149,3.3137983757,3.2404427852,3.2069262075,3.1985891002,3.1892498933,3.2398279177,3.2297345738,3.2181122876
Trail 3,5.6918228182,3.8267226339,3.337988781,3.2594485496,3.2310347009,3.2182672735,3.2094634428,3.2051254788,3.2036499257,3.1987282533
Trail 4,5.5564488033,3.8331478734,3.3786789905,3.271934607,3.2467990774,3.2447571476,3.2410854613,3.4100326175,3.3744675494,3.3665776961
Trail 5,5.5868006289,3.89939862,3.5478735703,3.484429121,3.4591901125,3.4511992399,3.6070019277,3.54723372,3.514870216,3.4907562375
Trail 6,5.6766692392,3.8114430267,3.3036328424,3.2224790785,3.1899640676,3.1827675687,3.1766408629,3.1716298826,3.1720476408,3.2357090207
Trail 7,5.7311286595,3.8640034761,3.3516348172,3.2764588348,3.2526869337,3.2403305805,3.2309930296,3.2254875457,3.224108677,3.219682645
Trail 8,5.7489239889,3.9486719135,3.3675621859,3.2607838145,3.2218869757,3.214901161,3.208561116,3.2083484471,3.2068632821,3.2460957188
Trail 9,5.471494282,3.8455153797,3.7229059442,3.537868797,3.450661096,3.4003562625,3.3508928013,3.3456818628,3.2784371897,3.2770310106
Trail 10,5.8027310304,3.8828434433,3.3792551265,3.2896923912,3.2562572796,3.2413562271,3.2317277784,3.2282147863,3.2262920968,3.2234184177
Average,5.6617429482,3.8474830211,3.3974386511,3.3025784489,3.2656708172,3.2526711609,3.2571409059,3.270830923,3.2553692625,3.2594885921
