,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.5153816971,3.8229888963,3.2512720049,3.1882705013,3.1690328743,3.1644086979,3.1625591203,3.1624972181,3.1659571289,3.1667963187
Trail 2,5.4483020668,3.757335583,3.2315510163,3.1934701904,3.1743447321,3.181008266,3.1724101175,3.1947802569,3.1952600248,3.1955421654
Trail 3,5.5229645834,3.8272230354,3.2842304637,3.2178620797,3.2018236105,3.1954013444,3.1927317583,3.1919631628,3.2184973023,3.2186661164
Trail 4,5.5411251296,3.7419855961,3.1549069808,3.3738258569,3.2783039279,3.173818871,3.1205723964,3.1178167506,3.1186783316,3.113905316
Trail 5,5.5346749795,3.777290177,3.2234648883,3.1728262384,3.1542676495,3.1494966814,3.1457436228,3.1622078061,3.1600574413,3.1588760597
Trail 6,5.5060702993,3.8826883052,3.3738982308,3.3221241524,3.2909415358,3.2845164965,3.282410169,3.362424036,3.3447783504,3.3333571704
Trail 7,5.4375223434,3.8231756758,3.3344976172,3.288024599,3.2812317534,3.279585857,3.2750047731,3.2772309956,3.3917148931,3.3606963165
Trail 8,5.3843185962,3.7380541965,3.2361270577,3.183968183,3.1769545133,3.1804730238,3.1751350818,3.1754734991,3.1785435394,3.1786144552
Trail 9,5.6399230656,3.8547239399,3.2874845092,3.2268283781,3.2028949424,3.1993577945,3.1975067624,3.1981034251,3.2023193912,3.2041080841
Trail 10,5.5441267132,3.8930877047,3.4378922012,3.3808731233,3.3615040134,3.3603379235,3.3633261339,3.3627186154,3.3643758508,3.3640258979
Average,5.5074409474,3.811855311,3.281532497,3.2548073302,3.2291299552,3.2168404956,3.2087399935,3.2205215766,3.2340182254,3.22945879
