,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.4444668937,3.6843426731,3.1333220138,3.0925896951,3.0777038859,3.083408269,3.1250137763,3.0965130844,3.0943389337,3.0997689405
Trail 2,5.4976824428,3.7032134847,3.1238082221,3.0705675169,3.0619182674,3.0660478878,3.0596618767,3.0568482007,3.0594146357,3.0588823801
Trail 3,5.6152042108,3.848644515,3.2393005036,3.1669570412,3.2926793334,3.2392410717,3.2507336843,3.2339144653,3.2277744451,3.212714233
Trail 4,5.4169687968,3.7511695743,3.3028370593,3.2640183345,3.3859666157,3.3415464037,3.4360101577,3.3842189585,3.4072494436,3.3902600969
Trail 5,5.6076816788,3.7265273244,3.0875429925,3.0108189025,2.9731495494,2.9653419678,2.9615029303,2.9605742217,2.9638072978,2.9625657048
Trail 6,5.4749045126,3.8189077793,3.3231674486,3.2721923556,3.3832298131,3.3619630916,3.3492252605,3.3198805935,3.3042509431,3.2910574584
Trail 7,5.5713156605,3.7717241601,3.1316268784,3.0484572276,3.0121881624,3.0009588173,2.9968150914,2.9945233077,2.9991141474,3.0004629593
Trail 8,5.613491817,3.8360540005,3.6886466891,3.8422694707,3.5888860464,3.3449954154,3.31915051,3.2688537295,3.264393518,3.2011236116
Trail 9,5.5018424239,3.7342885389,3.1797263206,3.1304180804,3.1084782302,3.1058209727,3.1064328526,3.107865918,3.1119296971,3.1122265125
Trail 10,5.5971031369,3.848157647,3.2739316246,3.2171199493,3.1949712651,3.1903387304,3.1890627497,3.1865340793,3.1893388809,3.220248589
Average,5.5340661574,3.7723029697,3.2483909753,3.2115408574,3.2079171169,3.1699662628,3.179360889,3.1609726559,3.1621611942,3.1549310486
