,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.8571572793,3.6272446777,2.8871800922,2.7627749889,2.7096603517,2.6933817626,2.6902827856,2.6871974498,2.6896027894,2.6866558747
Trail 2,5.6952533101,3.4465508891,2.7677248142,2.6756879615,2.6390882933,2.6313974264,2.6287466117,2.626288943,2.628698894,2.6260415183
Trail 3,5.6960254213,3.4501350276,2.7674434239,2.6511801201,2.6041151214,2.5961281389,2.5938758937,2.5929963597,2.5959165517,2.5936035754
Trail 4,5.6931283676,3.4334419247,2.7619648559,2.6763583312,2.6421790888,2.6301754093,2.6270765403,2.6249169069,2.6270514493,2.6241439899
Trail 5,5.6822433361,3.3947365178,2.6549118612,2.5460901731,2.5091882946,2.499882909,2.4975302465,2.4954368438,2.4985244458,2.4963048254
Trail 6,5.4957036967,3.6374072515,3.1679520332,3.1138340806,3.0796719733,3.0700307539,3.0675311109,3.0656395291,3.0697872019,3.0703697487
Trail 7,5.7916635088,3.6082328778,2.9137471153,2.8030446564,2.7596897125,2.7489407375,2.746327043,2.7451013709,2.7472037082,2.7448717188
Trail 8,5.6821442909,3.3992029197,2.7072894449,2.5823157904,2.5390301132,2.5228031393,2.5214248857,2.5197545414,2.523110676,2.5203439335
Trail 9,5.5094115772,3.6573798449,3.1338908765,3.0598616518,3.0270821027,3.0164672377,3.0139052312,3.0118547318,3.0133870978,3.0122370355
Trail 10,5.72819834,3.4686365031,2.7929565884,2.6867290168,2.6413161577,2.6329759399,2.63227065,2.631242929,2.6335273464,2.6300062698
Average,5.6830929128,3.5122968434,2.8555061106,2.755787677,2.7151021209,2.7042183454,2.7018970999,2.7000429605,2.7026810161,2.700457849
