,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,5.545454847,3.7277149817,3.2182886566,3.1467301261,3.1111927573,3.0996573555,3.0984161669,3.0969842849,3.0992992389,3.0986231335
Trail 2,5.7019575255,3.4642197471,2.7554670568,2.6554900566,2.6135777312,2.6030004455,2.6023878663,2.6011883105,2.6041775767,2.6011961851
Trail 3,5.692181217,3.4475993886,2.757715145,2.6247782488,2.5820319691,2.5677915645,2.5665449384,2.5651521811,2.5682194305,2.5644826068
Trail 4,5.6961876075,3.4084249395,2.7147000907,2.614924845,2.5705575802,2.5587371255,2.5574473906,2.5554822645,2.556964918,2.5535486633
Trail 5,5.7931412964,3.5160408564,2.8078779179,2.6977358485,2.6508619192,2.6367039188,2.6343158306,2.6322312444,2.6346916837,2.6370514101
Trail 6,5.7504160708,3.5372770966,2.8092764701,2.6637143283,2.6097332276,2.5959094375,2.5939978369,2.5923691947,2.5958388526,2.5932961131
Trail 7,5.6902467331,3.40007991,2.7160446181,2.6101956078,2.5653303314,2.5520925808,2.5512364155,2.5476002783,2.5504204864,2.5471042582
Trail 8,5.4745685774,3.6417949663,3.1276216901,3.0842241898,3.0563275567,3.0464527001,3.0436743106,3.0413653336,3.0567082093,3.0557106912
Trail 9,5.6250561437,3.3654662906,2.7168454473,2.6224318674,2.5821131225,2.5728453109,2.5710300279,2.5697460848,2.5722632534,2.5703740342
Trail 10,5.7806415689,3.6227560708,2.9634361969,2.866772727,2.8292654934,2.8125433334,2.8089159577,2.8062528444,2.8088873867,2.8054068346
Average,5.6749851587,3.5131374248,2.8587273289,2.7586997845,2.7170991689,2.7045733772,2.7027966741,2.7008372021,2.7047471036,2.702679393
