,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.1593509404,4.1202192933,3.28588087,3.1811830561,3.1370544627,3.1002546647,3.0909881946,3.0828476541,3.0802853582,3.0722808083
Trail 2,6.1230204357,4.0845068904,3.2323220268,3.1163732168,3.0590419376,3.0298192994,3.0212225191,3.0131841942,3.0098427289,3.0020740267
Trail 3,6.1519363987,4.0583955984,3.1782435591,3.0610340776,3.0069591793,2.9735447176,2.9658494668,2.9580590617,2.9553063703,2.9469961353
Trail 4,6.1499779627,4.0627179265,3.1779326183,3.0586007473,3.0001905173,2.9690565415,2.9606542543,2.9535802332,2.9511443566,2.9440708953
Trail 5,6.2208746389,4.14774762,3.3292155054,3.2200886184,3.1676680669,3.1361043861,3.1272710453,3.1196239756,3.1169151827,3.1099862577
Trail 6,6.0993163246,4.0917197368,3.2763743501,3.1679334396,3.1198452318,3.0930130731,3.0830769659,3.0744273631,3.0712879697,3.0637083216
Trail 7,6.1558059156,4.094165557,3.2381034651,3.1223038342,3.0755351594,3.0381135266,3.0272481155,3.0186418264,3.0151170718,3.006635821
Trail 8,6.1276955767,4.106656528,3.2787317489,3.1696745976,3.1161360008,3.0891799648,3.080258383,3.0728379919,3.0704919464,3.062733323
Trail 9,6.2056876495,4.1463362832,3.3142600221,3.1946784927,3.1413318484,3.1062422487,3.095394648,3.0871223411,3.0839285445,3.0773592941
Trail 10,6.1359952921,4.1220471118,3.3243683816,3.2142426407,3.1629893415,3.1348084758,3.1249444274,3.1175718649,3.1154767042,3.1095653213
Average,6.1529661135,4.1034512545,3.2635432547,3.1506112721,3.0986751746,3.0670136898,3.057690802,3.0497896506,3.0469796233,3.0395410204
