,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.1761501511,4.1744243181,3.3985068197,3.2936010964,3.2462376063,3.2209128012,3.2095425771,3.2021116968,3.1994630172,3.1939032408
Trail 2,6.1102871035,4.0168524195,3.1389394002,3.0231892694,2.9747728794,2.9337771801,2.9228199443,2.9149276734,2.9117523645,2.9037910629
Trail 3,6.1254622406,4.11279937,3.2634734059,3.1537818234,3.1046429648,3.0799519291,3.06856073,3.0604675596,3.0578437114,3.0501212397
Trail 4,6.2024198094,4.1322774683,3.2671099856,3.154606473,3.1025125808,3.0723181016,3.0614117256,3.0519972627,3.0479315952,3.04009414
Trail 5,6.218429783,4.2341329525,3.4551073732,3.3369596486,3.2822268156,3.2527951293,3.2415370726,3.2312520736,3.2276555063,3.2209484561
Trail 6,6.1242875116,4.08276872,3.2490866693,3.1431225331,3.0892964563,3.0611160114,3.0534133047,3.0460536046,3.0425849553,3.0359504595
Trail 7,6.1332429735,4.0242020901,3.1409291201,3.0205971841,2.9634876055,2.9319176179,2.9223468807,2.9142762954,2.9115160508,2.9031415645
Trail 8,6.0823290326,4.0042075099,3.1040568247,2.9942423373,2.9417562096,2.910620347,2.9007294316,2.8934769784,2.8903369076,2.8816075812
Trail 9,6.1423151142,4.0920257782,3.2293328127,3.1219943166,3.0723847681,3.044838386,3.0371921084,3.0298744521,3.0262854157,3.0183866536
Trail 10,6.1988440589,4.1647419726,3.3263955859,3.2050662341,3.1483065094,3.1164021562,3.106049504,3.0974667784,3.0942486167,3.0868351301
Average,6.1513767778,4.1038432599,3.2572937997,3.1447160916,3.0925624396,3.062464966,3.0523603279,3.0441904375,3.0409618141,3.0334779528
