,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.145775673,4.0928348854,3.2364251462,3.1265820446,3.0743690611,3.0457346172,3.0383324355,3.0315292614,3.0286418175,3.0204777139
Trail 2,6.1363260751,4.0446816935,3.2000421666,3.0984496709,3.0526244053,3.0204939937,3.0107000143,3.0025398411,2.9993621197,2.9901832596
Trail 3,6.1467513296,4.1565904997,3.36012355,3.2568276506,3.2102657518,3.1846795399,3.1738017337,3.1654987217,3.1621086326,3.1553917952
Trail 4,6.1379339892,4.075967088,3.2116403553,3.1023576584,3.0483990281,3.016110411,3.0066143982,2.9987958372,2.9955117689,2.9879637822
Trail 5,6.1111951753,4.0147739609,3.1408634039,3.0275361245,2.9790798304,2.944011051,2.9342539326,2.9256316505,2.9225306268,2.9147290226
Trail 6,6.1305488198,4.0425084522,3.1750330907,3.0662986491,3.0151179867,2.9863164272,2.9777248287,2.9706065482,2.9681940744,2.9592591241
Trail 7,6.1708375929,4.1753973156,3.3336283329,3.2284945415,3.1778073068,3.1550416327,3.1423701843,3.1352471415,3.1321748332,3.1242772009
Trail 8,6.1632489569,4.1115971892,3.267402282,3.162566072,3.1138608185,3.087756059,3.0811558749,3.0753604479,3.0725030941,3.0643558467
Trail 9,6.2029963985,4.1943737263,3.3613359345,3.2418914867,3.1867062425,3.1567088654,3.1455772284,3.1375766271,3.1347787254,3.1281527598
Trail 10,6.1746150142,4.1079543584,3.2101472156,3.0885601484,3.0356165346,3.0031295586,2.993383792,2.9849574082,2.9820524225,2.9740621617
Average,6.1520229024,4.1016679169,3.2496641478,3.1399564047,3.0893846966,3.0599982156,3.0503914422,3.0427743485,3.0397858115,3.0318852667
