,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.2128254039,4.2391794583,3.7456086787,3.6789057832,3.6446298702,3.6342238013,3.777527293,3.7168052416,3.7376646989,3.6918354156
Trail 2,6.2933345198,4.1463613812,3.6425796453,3.5394469135,3.4968640244,3.4622720854,3.5968302652,3.5734412249,3.5519356202,3.5150792192
Trail 3,6.2556782246,4.3803817269,3.9327486053,3.8492442153,3.8221439281,4.0630641315,3.9139246257,3.8740737766,3.8401391949,3.8511574551
Trail 4,6.3445425796,4.2073413231,3.6343215905,3.985743334,3.7765795598,3.737085633,3.6611173682,3.5916532297,3.5726426744,3.5565547751
Trail 5,6.318108575,4.1936664158,3.5818772612,3.4786701825,3.4368252432,3.4109528534,3.4093532166,3.4024866664,3.4224599542,3.4256200386
Trail 6,6.0187671833,4.139704527,3.6000782972,3.5190752381,3.4800696712,3.6306254599,3.580963564,3.4855292626,3.4782858567,3.4588472089
Trail 7,6.0213378651,4.1915737385,3.7117007624,4.0315579777,3.862218909,3.734709271,3.6585023987,3.6337749055,3.6319960925,3.637231379
Trail 8,6.0649904357,4.1259340334,3.5953853843,3.5345152599,3.8623177912,3.7112556654,3.6381199373,3.5469066272,3.521250212,3.5098941943
Trail 9,6.3940560905,3.9570986863,3.2176933233,3.0659286599,2.9900525377,2.9479928538,2.9359844345,2.9273105928,2.9276414864,2.9248170092
Trail 10,6.0685222767,4.0483879536,3.4453445643,3.3326539169,3.2795652014,3.2626218273,3.4529781513,3.3655716309,3.35764361,3.3048389901
Average,6.1992163154,4.1629629244,3.6107338113,3.6015741481,3.5651266736,3.5594803582,3.5625301255,3.5117553158,3.50416594,3.4875875685
