,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.0608444226,4.1065184889,3.5979834244,3.5177852492,3.7243384597,3.6214264351,3.7627264472,3.6220675115,3.5902701618,3.5787315029
Trail 2,6.3339239675,4.0280280734,3.3967510521,3.2663289977,3.2018323518,3.1646716063,3.1515031543,3.1455027903,3.1447978654,3.142457259
Trail 3,6.2414388663,4.0109085563,3.2625821579,3.1096486313,3.0344091507,2.9943572605,2.9823824046,2.9734026527,2.9721398261,2.9694447768
Trail 4,6.2418165065,4.167700274,3.5150751212,3.4291520635,3.3956736074,3.3848407159,3.3806173447,3.3760450801,3.4650519137,3.4729286747
Trail 5,6.2039276855,4.0435948961,3.4325053486,3.3471762698,3.3068430145,3.2885602461,3.2864735872,3.2840561822,3.2867640439,3.3974950173
Trail 6,6.2452486814,4.1644318298,3.531406833,3.4478371103,3.4158429123,3.4037865578,3.4491082994,3.4356506849,3.440469722,3.4253400313
Trail 7,6.3276893185,4.0287476521,3.5070697614,3.3955962429,3.3562830523,3.3229774771,3.3177424378,3.3139537542,3.3143583052,3.3134754862
Trail 8,6.2043823265,4.0896840115,3.5427319437,3.4317303518,3.3900930436,3.3623259806,3.3868264669,3.3836891614,3.3831355681,3.3833352459
Trail 9,6.0952894341,4.103754697,3.5239330074,3.4191193278,3.375369383,3.3562468614,3.3498075998,3.3794978976,3.3651724633,3.3727615586
Trail 10,6.1988556869,4.2018346402,3.6129972967,3.5173906691,3.4860074381,3.4686589757,3.4642427881,3.4604179887,3.4612267095,3.4597696115
Average,6.2153416896,4.0945203119,3.4923035946,3.3881764913,3.3686692413,3.3367852116,3.353143053,3.3374283703,3.3423386579,3.3515739164
