,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.6323627559,4.3551606673,3.471339324,3.3759725304,3.3326986994,3.3065610426,3.3004381514,3.2921955385,3.2915459818,3.2897355152
Trail 2,6.6553061388,4.3693998935,3.542752564,3.428755194,3.3831767002,3.3605356029,3.3538409665,3.348662722,3.3490765095,3.3482365292
Trail 3,6.6379774308,4.3243804459,3.4266694726,3.3109964678,3.2638576065,3.2361515757,3.229164851,3.2221164564,3.2215696814,3.2208061222
Trail 4,6.6583798696,4.3892672457,3.498008504,3.3927989687,3.3581490451,3.3329431108,3.3272344522,3.3190994824,3.3195291171,3.3188102706
Trail 5,6.5983865784,4.4142722003,3.6106935241,3.5269455553,3.4868609158,3.4684489308,3.463909408,3.4578574027,3.4591964004,3.5227099073
Trail 6,6.6155335658,4.4080587125,3.6924417814,3.5955212674,3.5633865337,3.5441959932,3.5371186712,3.5313469063,3.5707381119,3.5475520417
Trail 7,6.6736965401,4.2984293368,3.4063092573,3.2985127069,3.2561389971,3.2256707814,3.2194610967,3.2106450185,3.2106640845,3.2091041882
Trail 8,6.6481133977,4.3164861439,3.5124597048,3.4076477156,3.3676410815,3.3404295367,3.3362025679,3.3888105078,3.3609103205,3.3510501286
Trail 9,6.6398090231,4.3084061645,3.3666749828,3.242394119,3.1883541767,3.1627531193,3.1563381406,3.1485655439,3.148308941,3.1471995161
Trail 10,6.6362104357,4.3447665096,3.5044213021,3.4046132736,3.3646535141,3.3432133467,3.3359080081,3.3277524501,3.3270405154,3.3256617093
Average,6.6395775736,4.352862732,3.5031770417,3.3984157799,3.356491727,3.332090304,3.3259616314,3.3247052029,3.3258579663,3.3280865928
