,1-gram,2-gram,3-gram,4-gram,5-gram,6-gram,7-gram,8-gram,9-gram,10-gram
Trail 1,6.6586064299,4.303863659,3.4143952945,3.3041176165,3.2630991725,3.2415123972,3.2342525595,3.2267613885,3.2260543134,3.2251510529
Trail 2,6.6154756975,4.3967391178,3.6682550024,3.5753105049,3.539983079,3.5168704518,3.5110083825,3.5028335606,3.5021699767,3.5014222185
Trail 3,6.5767752161,4.3299288739,3.5302279118,3.4330311514,3.3963178314,3.3797792653,3.3746225399,3.370222051,3.4102275277,3.40233473
Trail 4,6.6259740301,4.4195174322,3.6428583943,3.5547184431,3.5200096814,3.4988532122,3.4932150444,3.4853098367,3.485606612,3.5099820414
Trail 5,6.6110260762,4.3275751288,3.5055178292,3.3994296324,3.3587610286,3.3353372427,3.3283815734,3.3194468838,3.3196635089,3.3191735102
Trail 6,6.6200524001,4.3436585263,3.4941027448,3.3948107483,3.3513868436,3.3302907775,3.3234274112,3.3158608218,3.3160892871,3.314661615
Trail 7,6.6111463427,4.4042465309,3.707993861,3.6138785578,3.5827014297,3.560403491,3.5549626749,3.5481700826,3.5484796991,3.5474769364
Trail 8,6.6041853572,4.3142169013,3.5217475429,3.4177183787,3.3785196716,3.3507433783,3.3456624439,3.339004052,3.3390718746,3.3377287616
Trail 9,6.6279943559,4.3169063204,3.4979451861,3.3944266474,3.3583607192,3.3361526746,3.3292889136,3.3234139391,3.3243239721,3.3233899518
Trail 10,6.6078054451,4.2794989126,3.4238279032,3.3115940997,3.2706205497,3.2460382704,3.2390880378,3.2320967189,3.2322536394,3.2309560055
Average,6.6159041351,4.3436151403,3.540687167,3.439903578,3.4019760007,3.3795981161,3.3733909581,3.3663119335,3.3703940411,3.3712276823
